edad,genero,institucion,area_residencia,año_escolar,idiomas,edu_padres,ingreso_familiar,interes_cientifico_texto,actividades_gustan_texto,asignaturas_texto,carrera_texto,influencia_carrera_texto,likert_apoyo_maestros,opinion_amigos,likert_apoyo_familia,obstaculos_texto,sectores_interes_texto,likert_optimismo,likert_estabilidad_eco,impacto_esperado,likert_percep_tecnologia,area_tecnol_importante,likert_prob_steam,nivel_informacion_steam,genero_num,institucion_num,area_residencia_num,año_escolar_num,idiomas_num,edu_padres_num,ingreso_familiar_num,opinion_amigos_num,obstaculos_texto_num,sectores_interes_texto_num,impacto_esperado_num,area_tecnol_importante_num,nivel_informacion_steam_num,R_q9_herramientas,R_q9_bricolaje,R_q9_mecanica,I_q9_seres_vivos,I_q9_ingenieria,I_q9_fenómenos,I_q9_ajedrez,I_q9_ciencia_ficcion,I_q9_misterios,I_q9_novelas_detectives,A_q9_productos_artisticos,A_q9_arte_belleza_visual,A_q9_actividades_artisticas,I_q10_analisis_datos,I_q10_descubrimientos_cient,I_q10_explorar_tecnologia,R_q10_problemas_software,R_q10_diseño_construccion,I_q10_problemas_creativos,A_q10_artes_visuales,A_q10_retroalim_arte,I_q10_estadistica,I_q10_problemas_matematicos,I_q11_matematicas,I_q11_biologia,I_q11_fisica,I_q11_quimica,R_q11_tecnologia,A_q11_arte,I_q12_investigador_cientifico,R_q12_desarrollador_software,R_q12_ingeniero_civil,A_q12_artista_digital,I_q12_matematico,q12_otros,q13_familia,q13_maestros,q13_amigos,q13_redes_sociales,q13_nadie_particular,q13_no_especifica,q23_salud,q23_energia,q23_educacion,q23_transporte,q23_medio_ambiente,likert_apoyo_maestros_binario,opinion_amigos_binario,likert_apoyo_familia_binario,likert_optimismo_binario,likert_estabilidad_eco_binario,likert_percep_tecnologia_binario,likert_prob_steam_binario,nivel_informacion_steam_binario
16,Masculino,VICENTE ANDA AGUIRRE,Rural,Segundo de bachillerato,Español,Bachillerato,$501 - $1000,"Me interesa trabajar con herramientas, máquinas y equipos., Me gusta leer novelas de detectives y explorar el razonamiento detrás de los casos y las soluciones propuestas.",Resolver problemas complejos de manera creativa.,Biología,"Ingeniero/a civil, Otros",Familia,3,Neutro,5,Dificultad en las materias,Tecnología,3,3,No estoy seguro(a),3,Energía,3,Informado/a,1,0,0,2,1,3,2,3,3,2,5,2,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
16,Masculino,VICENTE ANDA AGUIRRE,Rural,Segundo de bachillerato,Español,Bachillerato,$501 - $1000,Me siento atraído/a por temas relacionados con mecánica y automóviles.,Explorar nuevas tecnologías y sus impactos en la sociedad.,Física,"Ingeniero/a civil, Investigador/a científico/a, Otros",Familia,2,Neutro,2,Dificultad en las materias,Tecnología,3,4,No estoy seguro(a),4,Salud,3,Informado/a,1,0,0,2,1,3,2,3,3,2,5,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1
16,Masculino,VICENTE ANDA AGUIRRE,Rural,Segundo de bachillerato,Español,Bachillerato,Menos de $500,"Me interesa trabajar con herramientas, máquinas y equipos.","Crear obras artísticas como pinturas, dibujos o esculturas.",Tecnología,Matemático/a o estadístico/a,Familia,3,Positivo,4,Falta de recursos educativos,Tecnología,5,5,Mejorar la calidad de vida de las personas,3,Educación,4,Informado/a,1,0,0,2,1,3,1,4,1,2,1,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1
17,Femenino,VICENTE ANDA AGUIRRE,Rural,Tercero de bachillerato,Español,Bachillerato,Menos de $500,"Encuentros fascinantes los misterios sin resolver y me gusta buscar soluciones lógicas y científicas para resolverlos., Me gusta leer novelas de detectives y explorar el razonamiento detrás de los casos y las soluciones propuestas., Disfruto explorando temas relacionados con arte y belleza visual en diferentes formas de expresión (dibujo, pintura, escultura).","Explorar nuevas tecnologías y sus impactos en la sociedad., Crear obras artísticas como pinturas, dibujos o esculturas.",Arte,Artista digital,Familia,4,Positivo,3,Falta de recursos educativos,Arte,3,3,Desarrollar nuevas ideas artísticas,3,Salud,3,Informado/a,0,0,0,3,1,3,1,4,1,4,4,1,4,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1
16,Masculino,VICENTE ANDA AGUIRRE,Rural,Tercero de bachillerato,Español,Bachillerato,$501 - $1000,"Me siento atraído/a por temas relacionados con mecánica y automóviles., Disfruto explorando y aprendiendo sobre seres vivos como animales, peces y plantas., Me gusta jugar ajedrez, Disfruto explorando temas relacionados con ciencia ficción y avances científicos futuristas., Encuentros fascinantes los misterios sin resolver y me gusta buscar soluciones lógicas y científicas para resolverlos., Me gusta leer novelas de detectives y explorar el razonamiento detrás de los casos y las soluciones propuestas., Me interesa trabajar con materiales físicos (como pinturas, arcilla, telas) para crear productos artísticos.","Analizar datos para encontrar patrones y conclusiones., Resolver problemas usando herramientas y software tecnológico., Diseñar y construir estructuras o dispositivos prácticos.","Tecnología,  Arte","Desarrollador/a de software, Investigador/a científico/a",Familia,5,Positivo,5,Falta de recursos educativos,Salud,5,4,Contribuir a la sostenibilidad,4,Energía,4,Informado/a,1,0,0,3,1,3,2,4,1,1,3,2,4,0,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1
16,Masculino,VICENTE ANDA AGUIRRE,Rural,Segundo de bachillerato,Español,Bachillerato,Menos de $500,"Me interesa trabajar con herramientas, máquinas y equipos., Disfruto arreglando o construyendo cosas físicas (por ejemplo, reparaciones en casa, proyectos de bricolaje).","Aprender sobre nuevos descubrimientos científicos., Explorar nuevas tecnologías y sus impactos en la sociedad., Resolver problemas usando herramientas y software tecnológico.",Biología,Desarrollador/a de software,Familia,3,Neutro,4,Dificultad en las materias,Medio ambiente,4,3,Mejorar la calidad de vida de las personas,2,Medio ambiente,3,Informado/a,1,0,0,2,1,3,1,3,3,3,1,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1
15,Masculino,VICENTE ANDA AGUIRRE,Rural,Primero de bachillerato,Español,Bachillerato,Menos de $500,"Disfruto explorando y aprendiendo sobre seres vivos como animales, peces y plantas., Disfruto explorando temas relacionados con ciencia ficción y avances científicos futuristas., Encuentros fascinantes los misterios sin resolver y me gusta buscar soluciones lógicas y científicas para resolverlos.","Aprender sobre nuevos descubrimientos científicos., Explorar nuevas tecnologías y sus impactos en la sociedad.","Biología,  Física,  Química",Investigador/a científico/a,Familia,3,Neutro,5,Otros,No especifica,3,4,Contribuir a la sostenibilidad,5,Educación,4,Informado/a,1,0,0,1,1,3,1,3,4,2,3,3,4,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1
16,Masculino,VICENTE ANDA AGUIRRE,Rural,Primero de bachillerato,Español,Bachillerato,Menos de $500,Disfruto explorando temas relacionados con ciencia ficción y avances científicos futuristas.,Analizar datos y realizar interpretaciones estadísticas,Biología,Ingeniero/a civil,Familia,2,Positivo,5,Dificultad en las materias,Salud,4,5,No estoy seguro(a),3,Educación,3,Informado/a,1,0,0,1,1,3,1,4,3,1,5,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1
14,Masculino,VICENTE ANDA AGUIRRE,Rural,Primero de bachillerato,No especifica,Bachillerato,$501 - $1000,"Me interesa trabajar con herramientas, máquinas y equipos., Me interesa investigar fenómenos físicos, biológicos y/o culturales para entender sus causas y efectos.","Analizar datos para encontrar patrones y conclusiones., Resolver problemas complejos de manera creativa., Resolver problemas matemáticos y encontrar soluciones eficientes",Matemáticas,Desarrollador/a de software,Familia,2,Neutro,5,Dificultad en las materias,Tecnología,4,3,Mejorar la calidad de vida de las personas,3,Energía,3,Informado/a,1,0,0,1,1,3,2,3,3,2,1,2,4,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
14,Femenino,VICENTE ANDA AGUIRRE,Rural,Primero de bachillerato,Español,Bachillerato,$501 - $1000,"Me interesa trabajar con herramientas, máquinas y equipos.","Diseñar y construir estructuras o dispositivos prácticos., Crear obras artísticas como pinturas, dibujos o esculturas.",Química,Ingeniero/a civil,Nadie en particular,2,Positivo,5,Otros,Educación (T/S/A),3,3,No estoy seguro(a),3,Educación,2,Informado/a,0,0,0,1,1,3,2,4,4,5,5,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1
15,Femenino,VICENTE ANDA AGUIRRE,Rural,Primero de bachillerato,Español,Bachillerato,Menos de $500,"Disfruto explorando y aprendiendo sobre seres vivos como animales, peces y plantas.",Explorar nuevas tecnologías y sus impactos en la sociedad.,"Química,  Tecnología","Desarrollador/a de software, Investigador/a científico/a",Familia,3,Neutro,4,Dificultad en las materias,Medio ambiente,5,3,Desarrollar nuevas ideas artísticas,3,Educación,3,Informado/a,0,0,0,1,1,3,1,3,3,3,4,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1
15,Femenino,VICENTE ANDA AGUIRRE,Rural,Primero de bachillerato,Español,Bachillerato,Menos de $500,"Me interesa investigar fenómenos físicos, biológicos y/o culturales para entender sus causas y efectos., Encuentros fascinantes los misterios sin resolver y me gusta buscar soluciones lógicas y científicas para resolverlos., Me gusta leer novelas de detectives y explorar el razonamiento detrás de los casos y las soluciones propuestas., Me interesa trabajar con materiales físicos (como pinturas, arcilla, telas) para crear productos artísticos., Disfruto explorando temas relacionados con arte y belleza visual en diferentes formas de expresión (dibujo, pintura, escultura).",Compartir y recibir retroalimentación sobre tu arte.,"Matemáticas,  Química","Ingeniero/a civil, Investigador/a científico/a",Nadie en particular,3,Neutro,4,Falta de recursos educativos,Tecnología,3,4,Innovar y crear nuevas tecnologías,4,Energía,5,Informado/a,0,0,0,1,1,3,1,3,1,2,2,2,4,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1
17,Masculino,VICENTE ANDA AGUIRRE,Rural,Tercero de bachillerato,Español,Bachillerato,Menos de $500,"Me interesa trabajar con herramientas, máquinas y equipos.","Analizar datos para encontrar patrones y conclusiones., Explorar nuevas tecnologías y sus impactos en la sociedad., Diseñar y construir estructuras o dispositivos prácticos., Resolver problemas complejos de manera creativa., Compartir y recibir retroalimentación sobre tu arte.",Arte,Ingeniero/a civil,Redes sociales,5,Positivo,2,Falta de apoyo familiar,Medio ambiente,2,4,Contribuir a la sostenibilidad,4,Transporte,3,Informado/a,1,0,0,3,1,3,1,4,2,3,3,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1
17,Masculino,VICENTE ANDA AGUIRRE,Rural,Tercero de bachillerato,Español,Bachillerato,$1001 - $2000,"Me interesa trabajar con herramientas, máquinas y equipos., Disfruto arreglando o construyendo cosas físicas (por ejemplo, reparaciones en casa, proyectos de bricolaje)., Disfruto explorando y aprendiendo sobre seres vivos como animales, peces y plantas., Encuentro fascinante la ingeniería y cómo se utiliza para diseñar y construir soluciones prácticas a problemas cotidianos y globales., Disfruto explorando temas relacionados con ciencia ficción y avances científicos futuristas., Encuentros fascinantes los misterios sin resolver y me gusta buscar soluciones lógicas y científicas para resolverlos., Me gusta leer novelas de detectives y explorar el razonamiento detrás de los casos y las soluciones propuestas.","Analizar datos para encontrar patrones y conclusiones., Aprender sobre nuevos descubrimientos científicos., Explorar nuevas tecnologías y sus impactos en la sociedad., Resolver problemas usando herramientas y software tecnológico., Diseñar y construir estructuras o dispositivos prácticos., Resolver problemas complejos de manera creativa., Analizar datos y realizar interpretaciones estadísticas","Biología,  Física,  Tecnología","Investigador/a científico/a, Otros",Nadie en particular,4,Neutro,5,Falta de recursos educativos,Salud,5,3,Innovar y crear nuevas tecnologías,4,Salud,5,Informado/a,1,0,0,3,1,3,3,3,1,1,2,1,4,1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,1,1
17,Masculino,VICENTE ANDA AGUIRRE,Rural,Tercero de bachillerato,Español,Bachillerato,Menos de $500,"Disfruto explorando y aprendiendo sobre seres vivos como animales, peces y plantas.","Explorar nuevas tecnologías y sus impactos en la sociedad., Resolver problemas matemáticos y encontrar soluciones eficientes","Matemáticas,  Biología",Ingeniero/a civil,Familia,1,Positivo,5,Falta de recursos educativos,Tecnología,3,4,Mejorar la calidad de vida de las personas,5,Educación,3,Informado/a,1,0,0,3,1,3,1,4,1,2,1,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1
17,Masculino,VICENTE ANDA AGUIRRE,Rural,Tercero de bachillerato,Español,Bachillerato,Menos de $500,"Disfruto de actividades artísticas como la música, el teatro o la literatura que involucran la creación de obras y expresiones creativas.",Explorar nuevas tecnologías y sus impactos en la sociedad.,Matemáticas,"Desarrollador/a de software, Ingeniero/a civil",Familia,2,Positivo,5,Falta de recursos educativos,Tecnología,3,4,Mejorar la calidad de vida de las personas,4,Educación,2,Informado/a,1,0,0,3,1,3,1,4,1,2,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1
17,Masculino,VICENTE ANDA AGUIRRE,Rural,Tercero de bachillerato,Español,Bachillerato,$501 - $1000,"Disfruto arreglando o construyendo cosas físicas (por ejemplo, reparaciones en casa, proyectos de bricolaje)., Encuentro fascinante la ingeniería y cómo se utiliza para diseñar y construir soluciones prácticas a problemas cotidianos y globales.",Diseñar y construir estructuras o dispositivos prácticos.,Química,Otros,Nadie en particular,1,Neutro,4,Otros,Salud,1,4,No estoy seguro(a),3,Educación,1,Informado/a,1,0,0,3,1,3,2,3,4,1,5,3,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1
15,Masculino,VICENTE ANDA AGUIRRE,Urbana,Primero de bachillerato,Español,Bachillerato,$501 - $1000,"Disfruto arreglando o construyendo cosas físicas (por ejemplo, reparaciones en casa, proyectos de bricolaje)., Me siento atraído/a por temas relacionados con mecánica y automóviles.","Explorar nuevas tecnologías y sus impactos en la sociedad., Resolver problemas usando herramientas y software tecnológico.","Matemáticas,  Tecnología","Desarrollador/a de software, Ingeniero/a civil",Familia,3,Positivo,5,Falta de recursos educativos,Medio ambiente,4,4,No especifica,4,Medio ambiente,4,Informado/a,1,0,1,1,1,3,2,4,1,3,1,5,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
16,Masculino,VICENTE ANDA AGUIRRE,Urbana,Segundo de bachillerato,Español,Bachillerato,Menos de $500,"Me interesa trabajar con herramientas, máquinas y equipos., Encuentro fascinante la ingeniería y cómo se utiliza para diseñar y construir soluciones prácticas a problemas cotidianos y globales., Encuentros fascinantes los misterios sin resolver y me gusta buscar soluciones lógicas y científicas para resolverlos., Me gusta leer novelas de detectives y explorar el razonamiento detrás de los casos y las soluciones propuestas.","Explorar nuevas tecnologías y sus impactos en la sociedad., Resolver problemas usando herramientas y software tecnológico., Resolver problemas complejos de manera creativa., Crear obras artísticas como pinturas, dibujos o esculturas., Analizar datos y realizar interpretaciones estadísticas",Química,"Ingeniero/a civil, Matemático/a o estadístico/a",Familia,1,Neutro,3,Dificultad en las materias,Tecnología,1,2,Mejorar la calidad de vida de las personas,1,Educación,1,Informado/a,1,0,1,2,1,3,1,3,3,2,1,3,4,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
16,Femenino,VICENTE ANDA AGUIRRE,Urbana,Tercero de bachillerato,Español,Bachillerato,Menos de $500,"Disfruto explorando temas relacionados con arte y belleza visual en diferentes formas de expresión (dibujo, pintura, escultura).",Analizar datos para encontrar patrones y conclusiones.,"Biología,  Tecnología",Artista digital,Familia,3,Neutro,2,Dificultad en las materias,Educación (T/S/A),2,3,Innovar y crear nuevas tecnologías,2,Energía,2,Informado/a,0,0,1,3,1,3,1,3,3,5,2,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
16,Masculino,VICENTE ANDA AGUIRRE,Urbana,Segundo de bachillerato,Español,Bachillerato,Menos de $500,"Me interesa trabajar con herramientas, máquinas y equipos.",Aprender sobre nuevos descubrimientos científicos.,Tecnología,Ingeniero/a civil,"Familia,  Nadie en particular",4,Positivo,5,Falta de recursos educativos,Tecnología,5,3,Desarrollar nuevas ideas artísticas,3,Educación,4,Informado/a,1,0,1,2,1,3,1,4,1,2,4,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,1
